"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2022004355","N","N","U","U","N","N","0","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2021034191","N","Y","U","Y","U","Y","1","Y","Y","00000","N","","","","","","","","N","","","","","1"
"2021046613","U","U","Y","Y","N","N","0","Y","N","02384","N","","","","","","","","N","","","","","1"
"2021075206","Y","Y","U","Y","U","Y","1","Y","N","00500","N","","","","","","","","N","","","","","1"
"2021056283","N","U","U","U","U","U","9","U","U","01200","N","","","","","","","","N","","","","","1"
"2021080965","N","N","U","Y","Y","Y","1","Y","N","00300","N","","","","","","","","N","","","","","2"
"2021091257","Y","U","U","Y","Y","U","3","U","U","01337","N","","","","","","","","N","","","","","2"
"2021059391","N","Y","U","Y","U","Y","1","Y","N","00650","N","","","","","","","","N","","","","","1"
"2021079770","N","Y","Y","Y","Y","Y","1","N","N","01679","N","","","","","","","","N","","","","","1"
"2021089783","","","","","","","","","","","","","","","","","","","","N","U","N","U","2"
"2021112195","Y","N","U","Y","N","N","0","Y","N","00748","N","","","","","","","","N","","","","","1"
"2021082752","N","N","U","Y","Y","N","1","Y","Y","00898","N","","","","","","","","N","","","","","1"
"2021095349","Y","Y","U","Y","Y","Y","1","Y","Y","01450","N","","","","","","","","N","","","","","2"
"2021035294","N","U","U","N","U","Y","1","U","U","00400","N","","","","","","","","N","","","","","1"
"2021023119","Y","U","N","Y","U","U","3","Y","N","01450","N","","","","","","","","N","","","","","1"
"2021051349","N","N","U","Y","U","Y","1","Y","N","00649","N","","","","","","","","N","","","","","1"
"2021044141","N","Y","Y","Y","Y","Y","3","Y","Y","08842","N","","","","","","","","N","","","","","2"
"2021038122","Y","Y","Y","Y","Y","Y","2","Y","U","01746","Y","Y","Y","Y","Y","2","Y","U","N","","","","","2"
"2021075212","Y","U","U","U","U","N","0","Y","N","01917","N","","","","","","","","N","","","","","2"
"2021075425","N","N","U","N","N","N","0","Y","N","00600","N","","","","","","","","N","","","","","1"
"2021087858","Y","Y","N","Y","N","N","0","U","U","00649","N","","","","","","","","N","","","","","1"
"2021086458","Y","N","U","Y","N","N","0","Y","N","01688","N","","","","","","","","N","","","","","2"
"2021034367","N","N","N","Y","Y","Y","1","Y","Y","00695","N","","","","","","","","N","","","","","1"
"2021088444","N","U","U","U","Y","Y","1","Y","U","01800","Y","U","U","Y","Y","1","Y","U","N","","","","","1"
"2021126611","Y","U","Y","N","N","N","0","Y","Y","01745","N","","","","","","","","N","","","","","1"
"2021071444","N","U","U","U","U","U","1","Y","U","00600","N","","","","","","","","N","","","","","2"
"2021107564","N","Y","Y","Y","Y","Y","1","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2021072626","N","N","Y","Y","Y","Y","3","Y","N","00850","N","","","","","","","","N","","","","","1"
"2021048236","Y","U","U","Y","Y","Y","2","Y","U","12000","N","","","","","","","","N","","","","","1"
"2021028477","N","Y","Y","U","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","2"
"2021028552","N","U","U","U","U","Y","1","Y","U","00600","U","","","","","","","","N","","","","","1"
"2021068431","Y","N","Y","Y","U","Y","3","Y","U","00883","N","","","","","","","","N","","","","","1"
"2021068989","N","U","U","Y","N","N","0","Y","U","01200","U","","","","","","","","N","","","","","1"
"2021056976","Y","Y","U","Y","Y","U","1","Y","Y","01700","N","","","","","","","","N","","","","","1"
"2021065172","Y","U","U","Y","N","N","0","Y","N","01584","N","","","","","","","","N","","","","","1"
"2021078254","Y","N","N","N","N","N","0","Y","N","01449","N","","","","","","","","N","","","","","1"
"2021052471","Y","U","U","U","U","U","9","Y","N","99999","N","","","","","","","","N","","","","","2"
"2021115686","","","","","","","","","","","","","","","","","","","","U","N","N","Y","1"
"2021094470","Y","N","N","N","N","N","0","Y","N","01000","N","","","","","","","","N","","","","","1"
"2021122874","N","U","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","2"
"2021073352","N","U","U","U","N","N","0","Y","N","00000","N","","","","","","","","N","","","","","1"
"2021019185","N","U","U","U","U","Y","1","Y","Y","00249","N","","","","","","","","N","","","","","1"
"2021050070","N","Y","Y","Y","Y","Y","1","Y","Y","00850","N","","","","","","","","N","","","","","1"
"2021030794","N","Y","U","Y","U","Y","1","Y","Y","00496","N","","","","","","","","N","","","","","1"
"2021044876","N","U","U","Y","U","Y","1","Y","Y","01084","N","","","","","","","","N","","","","","1"
"2021045650","N","N","U","N","Y","Y","1","Y","N","00649","N","","","","","","","","N","","","","","1"
"2021067331","N","U","Y","Y","U","Y","1","Y","N","01202","N","","","","","","","","N","","","","","1"
"2021063184","N","U","U","U","U","U","9","Y","N","00600","N","","","","","","","","N","","","","","2"
"2021031169","N","Y","U","N","N","N","0","Y","Y","01900","N","","","","","","","","N","","","","","1"
"2021058169","N","U","U","U","N","N","0","Y","U","12345","N","","","","","","","","N","","","","","2"
"2021098570","N","Y","U","U","U","Y","1","Y","Y","25000","N","","","","","","","","N","","","","","1"
"2021053742","N","Y","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","2"
"2021091000","N","N","Y","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","","","","","2"
"2021106535","N","Y","U","Y","Y","Y","1","Y","Y","00500","N","","","","","","","","N","","","","","1"
"2021082502","Y","N","Y","Y","N","Y","1","Y","N","01731","N","","","","","","","","N","","","","","2"
"2021067530","U","Y","U","U","U","Y","1","Y","Y","00000","N","","","","","","","","N","","","","","2"
"2021037954","N","N","Y","Y","U","Y","1","Y","Y","00135","N","","","","","","","","N","","","","","1"
"2021041443","N","U","U","N","U","U","1","U","U","00599","N","","","","","","","","N","","","","","1"
"2021055815","N","U","U","U","N","N","0","Y","Y","01350","N","","","","","","","","N","","","","","2"
"2021026810","N","U","U","U","U","Y","1","Y","Y","99999","N","","","","","","","","N","","","","","1"
"2021019853","N","U","Y","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2021021497","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2"
"2021065688","Y","U","U","Y","U","U","1","Y","Y","00000","N","","","","","","","","N","","","","","1"
"2021043302","N","U","U","Y","U","Y","1","Y","Y","00234","N","","","","","","","","N","","","","","2"
"2021064788","N","Y","Y","Y","Y","N","1","Y","N","01746","N","","","","","","","","N","","","","","1"
"2021059497","N","N","U","N","N","N","0","Y","N","01337","N","","","","","","","","N","","","","","1"
"2021065127","Y","U","N","Y","Y","Y","3","Y","N","01801","N","","","","","","","","N","","","","","1"
"2021088351","N","U","U","Y","U","U","9","Y","N","99999","N","","","","","","","","N","","","","","1"
"2021090173","N","Y","Y","Y","U","Y","1","Y","N","99999","N","","","","","","","","N","","","","","1"
"2021080509","N","N","U","N","N","N","9","Y","Y","00599","N","","","","","","","","N","","","","","3"
"2021078124","N","Y","U","Y","Y","Y","1","Y","Y","00900","N","","","","","","","","N","","","","","2"
"2021077604","N","Y","U","N","N","N","0","Y","N","00961","N","","","","","","","","N","","","","","1"
"2021080233","N","U","U","Y","U","Y","1","Y","U","00600","N","","","","","","","","N","","","","","1"
"2021084372","N","N","N","Y","Y","N","1","Y","Y","00398","N","","","","","","","","N","","","","","1"
"2021121779","U","U","U","N","N","N","0","Y","Y","00689","N","","","","","","","","N","","","","","1"
"2021003324","Y","Y","U","Y","U","Y","1","Y","Y","60000","N","","","","","","","","N","","","","","1"
"2021004897","Y","Y","Y","Y","N","N","1","Y","Y","01800","N","","","","","","","","N","","","","","1"
"2021014885","","","","","","","","","","","","","","","","","","","","N","N","N","Y","1"
"2021026466","N","Y","Y","U","U","Y","1","Y","N","01450","N","","","","","","","","N","","","","","1"
"2021028297","U","Y","U","Y","U","Y","3","Y","Y","01688","N","","","","","","","","N","","","","","1"
"2021032696","Y","Y","Y","Y","Y","Y","1","Y","Y","01470","N","","","","","","","","N","","","","","1"
"2021037843","N","N","N","N","N","N","0","Y","Y","01000","N","","","","","","","","N","","","","","2"
"2021076144","Y","Y","U","U","U","Y","9","U","U","01450","N","","","","","","","","N","","","","","1"
"2021038261","N","Y","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2021037328","Y","Y","Y","N","N","N","0","Y","Y","01746","Y","N","N","N","N","0","Y","Y","N","","","","","1"
"2021059759","Y","Y","Y","Y","Y","Y","3","Y","Y","01100","N","","","","","","","","N","","","","","1"
"2021069470","U","U","U","U","U","U","9","Y","U","15000","N","","","","","","","","N","","","","","1"
"2021077678","N","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2022007065","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2"
"2021029424","U","U","U","Y","U","U","9","U","U","00125","N","","","","","","","","U","","","","","1"
"2021022475","Y","Y","Y","Y","Y","Y","3","Y","Y","01000","N","","","","","","","","N","","","","","1"
"2021019853","N","U","Y","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","2"
"2021046309","N","U","U","Y","U","U","9","Y","N","00599","N","","","","","","","","N","","","","","1"
"2021053873","N","N","U","U","N","N","0","N","N","00999","N","","","","","","","","N","","","","","1"
"2021044053","Y","N","U","Y","Y","Y","2","Y","Y","01750","N","","","","","","","","N","","","","","1"
"2021059619","N","N","U","Y","U","Y","1","N","N","00600","N","","","","","","","","N","","","","","1"
"2021057692","N","U","U","N","U","Y","1","U","Y","00300","N","","","","","","","","N","","","","","2"
"2021102095","","","","","","","","","","","","","","","","","","","","N","N","N","U","1"
"2021112323","Y","Y","Y","Y","U","Y","3","Y","Y","00883","N","","","","","","","","N","","","","","2"
"2021075113","N","N","U","N","N","N","0","N","N","00650","N","","","","","","","","N","","","","","1"
"2021027162","U","U","U","U","","","","U","U","99999","U","","","","","","","","U","","","","","2"
"2021023235","Y","Y","N","Y","","","0","Y","Y","01450","N","","","","","","","","N","","","","","1"
"2021053920","U","U","U","U","U","Y","1","U","U","99999","N","","","","","","","","N","","","","","1"
"2021071754","Y","N","U","Y","Y","Y","2","Y","Y","01100","N","","","","","","","","N","","","","","1"
"2021061595","","","","","","","","","","","","","","","","","","","","N","U","N","U","1"
"2021056133","N","Y","U","Y","Y","Y","1","Y","N","01215","N","","","","","","","","N","","","","","2"
"2021060446","N","N","N","U","U","U","1","Y","U","00500","N","","","","","","","","N","","","","","1"
"2021085727","Y","U","U","Y","Y","Y","2","Y","N","01450","N","","","","","","","","N","","","","","1"
"2021062961","N","U","N","N","N","N","0","U","U","00125","Y","U","N","N","N","0","Y","Y","N","","","","","1"
"2021089973","N","U","U","Y","Y","Y","1","Y","N","01100","N","","","","","","","","N","","","","","1"
"2021067718","Y","U","U","U","U","Y","3","Y","N","99999","U","","","","","","","","N","","","","","1"
"2021073922","Y","U","U","Y","U","Y","1","Y","N","00650","N","","","","","","","","N","","","","","2"
"2021035217","Y","Y","Y","Y","U","Y","1","Y","Y","01340","N","","","","","","","","N","","","","","1"
"2021055021","U","U","U","U","U","U","1","U","U","11000","N","","","","","","","","U","","","","","1"
"2021049664","U","N","Y","Y","N","N","0","Y","Y","01584","N","","","","","","","","N","","","","","1"
"2021046441","N","N","N","N","U","U","1","N","N","00750","N","","","","","","","","N","","","","","1"
"2021067821","U","U","U","U","U","Y","1","Y","U","00000","N","","","","","","","","N","","","","","2"
"2021053049","N","U","U","Y","U","N","1","Y","N","00750","N","","","","","","","","N","","","","","2"
"2021093310","Y","U","Y","N","N","N","0","Y","Y","01854","Y","U","N","N","N","0","Y","N","N","","","","","1"
"2021056778","N","N","U","Y","U","Y","1","N","N","00600","N","","","","","","","","N","","","","","1"
"2021108402","N","Y","N","Y","","","0","Y","N","01300","N","","","","","","","","N","","","","","1"
"2021123997","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2021061664","N","N","U","Y","U","Y","1","Y","Y","00636","N","","","","","","","","N","","","","","1"
"2021025369","N","Y","N","Y","N","N","0","Y","Y","01792","N","","","","","","","","N","","","","","1"
"2021028368","N","U","N","Y","U","N","1","Y","Y","99999","N","","","","","","","","N","","","","","1"
"2021029259","N","U","N","U","U","Y","1","U","U","00999","N","","","","","","","","N","","","","","1"
"2021049576","Y","U","Y","N","N","U","0","Y","N","99999","Y","U","N","U","Y","2","Y","N","N","","","","","1"
"2021054677","N","U","N","U","U","U","1","U","U","00600","N","","","","","","","","N","","","","","1"
"2021030903","N","Y","U","Y","U","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2021046370","N","N","N","N","Y","Y","1","N","N","00600","N","","","","","","","","N","","","","","1"
"2021043192","Y","Y","Y","Y","U","U","9","Y","Y","00750","N","","","","","","","","N","","","","","1"
"2021030600","N","U","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2021078318","N","N","U","U","U","U","1","Y","N","00750","N","","","","","","","","N","","","","","2"
"2021090791","U","N","U","N","N","N","0","Y","N","01670","N","","","","","","","","N","","","","","1"
"2021099266","N","N","U","Y","U","Y","1","Y","Y","00937","N","","","","","","","","N","","","","","1"
"2021088759","N","N","N","N","Y","Y","1","Y","N","00998","N","","","","","","","","N","","","","","1"
"2021047779","N","Y","U","N","N","","0","Y","U","00700","N","","","","","","","","N","","","","","2"
"2021068898","Y","Y","Y","Y","N","N","0","Y","Y","99999","N","","","","","","","","N","","","","","1"
"2021107130","N","N","N","N","U","N","2","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2021072887","Y","Y","Y","Y","N","N","0","Y","N","01746","N","","","","","","","","N","","","","","1"
"2021087687","Y","U","N","Y","U","U","1","Y","N","00750","N","","","","","","","","N","","","","","2"
"2021076619","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","1"
"2021081959","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2021082625","U","Y","U","U","U","Y","1","Y","Y","99999","N","","","","","","","","N","","","","","1"
"2021122814","N","N","N","Y","N","N","1","Y","Y","00790","N","","","","","","","","N","","","","","1"
"2021061688","Y","Y","U","Y","U","U","9","Y","Y","99999","N","","","","","","","","N","","","","","2"
"2021088121","Y","Y","U","N","N","N","0","Y","N","00080","N","","","","","","","","N","","","","","1"
"2021044447","N","N","Y","Y","Y","Y","1","Y","Y","900","N","","","","","","","","N","","","","","2"
"2021052040","Y","N","U","N","N","N","0","N","N","99999","N","","","","","","","","N","","","","","1"
"2021047668","N","Y","Y","Y","Y","Y","1","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2021077793","N","U","U","U","U","U","9","U","U","10000","N","","","","","","","","N","","","","","1"
"2021059527","N","N","U","N","N","N","0","N","N","00250","N","","","","","","","","N","","","","","1"
"2021073608","N","Y","U","Y","Y","Y","1","Y","N","00300","N","","","","","","","","N","","","","","1"
"2021031901","Y","U","Y","Y","U","Y","3","Y","N","99999","N","","","","","","","","N","","","","","1"
"2021082990","N","U","Y","U","U","Y","1","Y","Y","00500","N","","","","","","","","N","","","","","1"
"2021090868","Y","Y","Y","Y","N","N","0","Y","N","01450","N","","","","","","","","N","","","","","1"
"2021084596","N","Y","Y","Y","U","Y","3","Y","Y","00649","N","","","","","","","","N","","","","","1"
"2021087020","Y","U","U","Y","U","U","9","U","U","01688","N","","","","","","","","N","","","","","1"
"2021052385","Y","Y","Y","Y","Y","Y","1","Y","Y","01745","N","","","","","","","","N","","","","","1"
"2021063682","U","U","U","N","U","Y","9","Y","Y","99999","N","","","","","","","","N","","","","","2"
"2021105714","U","U","N","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2021098526","N","Y","U","Y","U","Y","1","Y","Y","12030","N","","","","","","","","N","","","","","1"
"2021082486","Y","U","U","Y","Y","Y","1","Y","Y","01450","N","","","","","","","","N","","","","","1"
"2021073379","Y","N","Y","Y","Y","Y","1","Y","Y","00000","N","","","","","","","","N","","","","","2"
"2021023039","Y","Y","Y","Y","Y","Y","2","Y","Y","01000","N","","","","","","","","N","","","","","1"
"2021056416","N","N","N","Y","U","Y","1","N","Y","00170","N","","","","","","","","N","","","","","1"
"2021045200","Y","U","U","U","U","Y","9","Y","Y","01100","Y","U","U","U","U","9","Y","Y","N","","","","","2"
